@@,itemlabel,item,startdate,enddate
->,Mohamed Tewfik Rifaat Pasha->Мухаммед Тауфик Рифаат-паша,Q12240321->NULL,1923-08-06,1924-01-27
->,Wasif Boutros Ghali->Васеф Бутрос Гали Эфенди,Q12250674->NULL,1924-01-28,1924-11-24
->,Ahmad Ziwar->Ахмед Зивар-паша,Q4115891->NULL,1924-11-24,1924-12-09->1926-06-07
---,Ahmad Ziwar,Q4115891,1924-12-09,1925-03-13
---,Ahmad Ziwar,Q4115891,1925-03-13,1926-06-07
->,ʿAbd al-Khaliq Tharwat->Абдель Халек Сарват-паша,Q4116115->NULL,1926-06-07,1927-04-21
->,Murkus Hanna Pasha->Муркос Ханна-паша,Q18704146->NULL,1927-04-25->1927-04-21,1928-03-16
---,Wasif Boutros Ghali,Q12250674,1928-03-16,1928-06-25
---,Wasif Boutros Ghali,Q12250674,1928-03-16,1928-06-25
+++,Васеф Бутрос Гали-паша,,1928-03-16,1928-06-25
->,Ḥāfiẓ ʻAfīfī->Хафез Афифи-бей,Q16125804->NULL,1928-06-25->1928-06-27,1929-10-02
->,Ahmad Midhat Yeghen Pasha->Ахмед Мидхат Якан-паша,Q20386181->NULL,1929-10-03->1929-10-04,1930-01-01
---,Wasif Boutros Ghali,Q12250674,1930-01-01,1930-06-19
---,Wasif Boutros Ghali,Q12250674,1930-01-01,1930-06-19
+++,Васеф Бутрос Гали-паша,,1930-01-01,1930-06-19
->,Ḥāfiẓ ʻAfīfī->Хафез Афифи-бей,Q16125804->NULL,1930-06-19->1930-06-20,1930-07-12
->,Abdel Fattah Yahya Ibrahim Pasha->Абдель Фаттах Яхья-паша,Q4115897->NULL,1930-07-12,1933-01-04
->,Nakhla George al-Motyei Pasha->Нахла эль-Мотей-паша,Q96318839->NULL,1933-01-04,1933-07-01->1933-07-10
->,Ṣalīb Sāmī->Салиб Сами-бей,Q12220241->NULL,1933-07-01->1933-07-10,1933-09-27
->,Abdel Fattah Yahya Ibrahim Pasha->Абдель Фаттах Яхья-паша,Q4115897->NULL,1933-09-27,1934-11-14->1934-11-04
->,Kamel Ibrahim Bey->Камель Ибрагим-паша,Q101096238->NULL,1934-11-15,1935-02-18
->,Q101096244->Абдель Азиз Эззат-паша,Q101096244->NULL,1935-02-18,1936-01-30
->,Али Махир->Али Махир-паша,Q733972,1936-01-30,1936-05-09
---,Wasif Boutros Ghali,Q12250674,1936-05-09,1937-12-30
---,Wasif Boutros Ghali,Q12250674,1936-05-09,1937-08-01
+++,Васеф Бутрос Гали-паша,,1936-05-10,1937-12-30
---,Wasif Boutros Ghali,Q12250674,1937-08-01,1937-12-30
---,Abdel Fattah Yahya Ibrahim Pasha,Q4115897,1938-04-27,1938-06-24
->,Abdel Fattah Yahya Ibrahim Pasha->Абдель Фаттах Яхья-паша,Q4115897->NULL,1938-06-24->1937-12-30,1939-08-18
->,Али Махир->Али Махир-паша,Q733972,1939-08-18,1940-06-27
->,Хасан Сабри-паша,Q4115734->NULL,1940-06-27->1940-06-28,1940-11-14
->,Ṣalīb Sāmī->Салиб Сами-бей,Q12220241->NULL,1941-06-26,1941-07-31->1942-02-04
---,Ṣalīb Sāmī,Q12220241,1941-07-31,1942-02-04
---,Мустафа Наххас-паша,Q403629,1942-02-04,1942-05-26
->,Мустафа Наххас-паша,Q403629->NULL,1942-05-26->1942-02-06,1944-10-08
---,Махмуд ан-Нукраши-паша,Q1391679,1944-10-08,1945-01-15
---,Махмуд ан-Нукраши-паша,Q1391679,1945-01-15,1945-02-24
->,Махмуд ан-Нукраши-паша->Махмуд Фахми Нукраши-паша,Q1391679->NULL,1945-02-24->1944-10-09,1945-03-07
->,Abdel Hamid Badawi->Абдель Хамид Бадави-паша,Q317257->NULL,1945-03-07,1946-02-15
+++,Ахмед Лютфи эль-Сайед-паша,,1946-02-17,1946-09-11
